shop_no,ord_dt,abuse_yn
000570550A4CE3A992912889C3CBE908,2020-09-11,0
000570550A4CE3A992912889C3CBE908,2020-09-13,0
000570550A4CE3A992912889C3CBE908,2020-09-14,0
000570550A4CE3A992912889C3CBE908,2020-09-15,0
0005E2300ABF96225F902728DC72A20A,2020-09-11,0
0005E2300ABF96225F902728DC72A20A,2020-09-12,0
0005E2300ABF96225F902728DC72A20A,2020-09-13,0
0005E2300ABF96225F902728DC72A20A,2020-09-14,0
0005E2300ABF96225F902728DC72A20A,2020-09-15,0
000BCF24BABAFDF74C16EAA3931AEF02,2020-09-11,0
000BCF24BABAFDF74C16EAA3931AEF02,2020-09-12,0
000BCF24BABAFDF74C16EAA3931AEF02,2020-09-13,0
000BCF24BABAFDF74C16EAA3931AEF02,2020-09-14,0
000CA59DF4F86914638EE851660C70C7,2020-09-11,0
000CA59DF4F86914638EE851660C70C7,2020-09-12,0
000CA59DF4F86914638EE851660C70C7,2020-09-13,0
000CA59DF4F86914638EE851660C70C7,2020-09-14,0
000CA59DF4F86914638EE851660C70C7,2020-09-15,0
000F3C1EBCE39DEE781CE8D1173CF881,2020-09-13,0
00108388313E58593A29647E46B83EED,2020-09-11,0
00108388313E58593A29647E46B83EED,2020-09-14,0
00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-11,0
00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-12,0
00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-13,0
00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-14,0
00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-15,0
001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-11,0
001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-12,0
001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-13,0
001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-14,0
001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-15,0
0017996CCCDE455A934EDE56185F5DEE,2020-09-11,0
0017996CCCDE455A934EDE56185F5DEE,2020-09-12,0
0017996CCCDE455A934EDE56185F5DEE,2020-09-13,0
0017996CCCDE455A934EDE56185F5DEE,2020-09-14,0
001C52759BCA40C77FC4E02CF926FF3B,2020-09-11,0
001C52759BCA40C77FC4E02CF926FF3B,2020-09-12,0
001C52759BCA40C77FC4E02CF926FF3B,2020-09-14,0
0023F32389E40704EB953DB0FD7C67C2,2020-09-11,0
0023F32389E40704EB953DB0FD7C67C2,2020-09-12,0
0023F32389E40704EB953DB0FD7C67C2,2020-09-13,0
0023F32389E40704EB953DB0FD7C67C2,2020-09-14,0
0023F32389E40704EB953DB0FD7C67C2,2020-09-15,0
00260FC2BCC81F519F9D881C987922C1,2020-09-11,0
00260FC2BCC81F519F9D881C987922C1,2020-09-12,0
00260FC2BCC81F519F9D881C987922C1,2020-09-13,0
00260FC2BCC81F519F9D881C987922C1,2020-09-14,0
00260FC2BCC81F519F9D881C987922C1,2020-09-15,0
0027B870DAC48AA5210144C01B63BB08,2020-09-11,0
0027B870DAC48AA5210144C01B63BB08,2020-09-12,0
0027B870DAC48AA5210144C01B63BB08,2020-09-13,0
0027B870DAC48AA5210144C01B63BB08,2020-09-14,0
0027B870DAC48AA5210144C01B63BB08,2020-09-15,0
003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-11,0
003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-12,0
003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-13,0
003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-14,0
003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-15,0
0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-11,0
0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-12,0
0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-13,0
0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-14,0
0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-15,0
0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-11,0
0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-12,0
0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-14,0
0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-15,0
00448B5663F73E93F250236B2E23952F,2020-09-11,0
00448B5663F73E93F250236B2E23952F,2020-09-13,0
00448B5663F73E93F250236B2E23952F,2020-09-15,0
004CE057B43F95EEE7B3063E8CBB8333,2020-09-11,0
004CE057B43F95EEE7B3063E8CBB8333,2020-09-12,0
004CE057B43F95EEE7B3063E8CBB8333,2020-09-13,0
004CE057B43F95EEE7B3063E8CBB8333,2020-09-14,0
004CE057B43F95EEE7B3063E8CBB8333,2020-09-15,0
00500C91059C95827F5B5656B5A2CD87,2020-09-11,0
00500C91059C95827F5B5656B5A2CD87,2020-09-12,0
00500C91059C95827F5B5656B5A2CD87,2020-09-13,0
00500C91059C95827F5B5656B5A2CD87,2020-09-14,0
00500C91059C95827F5B5656B5A2CD87,2020-09-15,0
005044A8D039F8907DCF1B3DE8E851B1,2020-09-11,0
005044A8D039F8907DCF1B3DE8E851B1,2020-09-12,0
005044A8D039F8907DCF1B3DE8E851B1,2020-09-13,0
