,shop_no,ord_dt,abuse_yn
0,000570550A4CE3A992912889C3CBE908,2020-09-11,0.0034361188676152767
1,000570550A4CE3A992912889C3CBE908,2020-09-13,0.003674656852093943
2,000570550A4CE3A992912889C3CBE908,2020-09-14,0.0023799117572005776
3,000570550A4CE3A992912889C3CBE908,2020-09-15,0.0031752615254261917
4,0005E2300ABF96225F902728DC72A20A,2020-09-11,0.0037926243853048996
5,0005E2300ABF96225F902728DC72A20A,2020-09-12,0.003604665666463873
6,0005E2300ABF96225F902728DC72A20A,2020-09-13,0.0030711713882058383
7,0005E2300ABF96225F902728DC72A20A,2020-09-14,0.002383106796820845
8,0005E2300ABF96225F902728DC72A20A,2020-09-15,0.0037978954756315284
9,000BCF24BABAFDF74C16EAA3931AEF02,2020-09-11,0.002182500844747701
10,000BCF24BABAFDF74C16EAA3931AEF02,2020-09-12,0.0023493703686367933
11,000BCF24BABAFDF74C16EAA3931AEF02,2020-09-13,0.0024740445848630624
12,000BCF24BABAFDF74C16EAA3931AEF02,2020-09-14,0.003317049263249371
13,000CA59DF4F86914638EE851660C70C7,2020-09-11,0.003433965478582252
14,000CA59DF4F86914638EE851660C70C7,2020-09-12,0.003614393377864462
15,000CA59DF4F86914638EE851660C70C7,2020-09-13,0.0038814909562861714
16,000CA59DF4F86914638EE851660C70C7,2020-09-14,0.003627323379353442
17,000CA59DF4F86914638EE851660C70C7,2020-09-15,0.0033360406560905688
18,000F3C1EBCE39DEE781CE8D1173CF881,2020-09-13,0.0017943663682755942
19,00108388313E58593A29647E46B83EED,2020-09-11,0.002454956519113536
20,00108388313E58593A29647E46B83EED,2020-09-14,0.00301396036105684
21,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-11,0.0016929444033251155
22,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-12,0.0026986544200742536
23,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-13,0.0022147146746255737
24,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-14,0.001977099916421447
25,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-15,0.003048400084648984
26,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-11,0.0035471042000221834
27,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-12,0.003909298918366958
28,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-13,0.003462416315503425
29,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-14,0.003871683489736212
30,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-15,0.0041938169548695215
31,0017996CCCDE455A934EDE56185F5DEE,2020-09-11,0.004186232965211125
32,0017996CCCDE455A934EDE56185F5DEE,2020-09-12,0.004620521504942121
33,0017996CCCDE455A934EDE56185F5DEE,2020-09-13,0.004702147275089564
34,0017996CCCDE455A934EDE56185F5DEE,2020-09-14,0.004249152527596941
35,001C52759BCA40C77FC4E02CF926FF3B,2020-09-11,0.0031432458750103934
36,001C52759BCA40C77FC4E02CF926FF3B,2020-09-12,0.001915954301903465
37,001C52759BCA40C77FC4E02CF926FF3B,2020-09-14,0.0023557991170406597
38,0023F32389E40704EB953DB0FD7C67C2,2020-09-11,0.005824792841753247
39,0023F32389E40704EB953DB0FD7C67C2,2020-09-12,0.003531634117866863
40,0023F32389E40704EB953DB0FD7C67C2,2020-09-13,0.0024595436486137385
41,0023F32389E40704EB953DB0FD7C67C2,2020-09-14,0.004151036776111308
42,0023F32389E40704EB953DB0FD7C67C2,2020-09-15,0.0019681238368831158
43,00260FC2BCC81F519F9D881C987922C1,2020-09-11,0.004058760068288737
44,00260FC2BCC81F519F9D881C987922C1,2020-09-12,0.0043197503357267734
45,00260FC2BCC81F519F9D881C987922C1,2020-09-13,0.004592602369016756
46,00260FC2BCC81F519F9D881C987922C1,2020-09-14,0.0027251427969563514
47,00260FC2BCC81F519F9D881C987922C1,2020-09-15,0.003873053828211773
48,0027B870DAC48AA5210144C01B63BB08,2020-09-11,0.0016271149863986028
49,0027B870DAC48AA5210144C01B63BB08,2020-09-12,0.0032250964096697016
50,0027B870DAC48AA5210144C01B63BB08,2020-09-13,0.001713852490263965
51,0027B870DAC48AA5210144C01B63BB08,2020-09-14,0.0017758704240895817
52,0027B870DAC48AA5210144C01B63BB08,2020-09-15,0.001559581709462794
53,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-11,0.0027086648997317027
54,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-12,0.003204686341898778
55,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-13,0.0032984687302685706
56,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-14,0.00346012758439874
57,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-15,0.0024768094300412664
58,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-11,0.0024092302334740015
59,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-12,0.0030880746462271327
60,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-13,0.0021005923063433956
61,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-14,0.00263179301985133
62,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-15,0.003677880893586709
63,0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-11,0.0023264443884266125
64,0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-12,0.004287241653478498
65,0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-14,0.003417569753329683
66,0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-15,0.0024854181525279483
67,00448B5663F73E93F250236B2E23952F,2020-09-11,0.005669016534094888
68,00448B5663F73E93F250236B2E23952F,2020-09-13,0.003430429666960125
69,00448B5663F73E93F250236B2E23952F,2020-09-15,0.005342953315238011
70,004CE057B43F95EEE7B3063E8CBB8333,2020-09-11,0.0033988828801497207
71,004CE057B43F95EEE7B3063E8CBB8333,2020-09-12,0.0014892400845400331
72,004CE057B43F95EEE7B3063E8CBB8333,2020-09-13,0.002409563755007736
73,004CE057B43F95EEE7B3063E8CBB8333,2020-09-14,0.0032843569024752707
74,004CE057B43F95EEE7B3063E8CBB8333,2020-09-15,0.0021853768637704832
75,00500C91059C95827F5B5656B5A2CD87,2020-09-11,0.0023449137475628342
76,00500C91059C95827F5B5656B5A2CD87,2020-09-12,0.0020108290941373737
77,00500C91059C95827F5B5656B5A2CD87,2020-09-13,0.002223316146644131
78,00500C91059C95827F5B5656B5A2CD87,2020-09-14,0.0018309594809007626
79,00500C91059C95827F5B5656B5A2CD87,2020-09-15,0.003571050079415233
80,005044A8D039F8907DCF1B3DE8E851B1,2020-09-11,0.002286358966988065
81,005044A8D039F8907DCF1B3DE8E851B1,2020-09-12,0.00200749387880003
82,005044A8D039F8907DCF1B3DE8E851B1,2020-09-13,0.0022147170914482823
83,0050BEAB6F574BCD4C7CB929395290EC,2020-09-11,0.003841388617088667
84,0050BEAB6F574BCD4C7CB929395290EC,2020-09-12,0.0041071231075029396
85,0050BEAB6F574BCD4C7CB929395290EC,2020-09-13,0.0034787830388834946
86,0050BEAB6F574BCD4C7CB929395290EC,2020-09-14,0.004031106782861276
87,00512FC0B2E81ACCE8CC9429A3864A2C,2020-09-12,0.002433927744729308
